skill_id,profile_id,skill_name,endorsements,sort_order
1000f4db-f048-4a0d-b9d2-be2c0123dca9,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Research Skills,,2
67bce78a-4559-4de5-8678-7ecf4a62d34f,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Problem Solving,,3
1c8c5757-e754-43a0-ba48-89aae5d7235e,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Statistical Data Analysis,,4
2f12d476-5fdc-4897-a095-9fd205b6ff3a,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Scientific Experimentation,,5
81e005f9-09d9-4c92-ab8c-c96f22de6342,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Leadership,,6
09f5cfc0-1745-4ce5-88f7-f358907a1082,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Communication,,7
eace8a83-4165-4aa4-ac77-3a562dd115ef,63786a31-72e1-4fab-a6ce-cf85ad72db2f,Tutoring,,8
4799a9ee-edd1-45ec-b4ea-5155a100bcf8,63786a31-72e1-4fab-a6ce-cf85ad72db2f,TensorFlow,,9
b6426128-d0ff-4101-961d-79c60199abfa,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Academic Research,,0
416bba97-6e25-4d76-8298-b3c892d9ca35,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Medical Research,,1
0d3ea3f4-820e-4b07-bc19-d41fdaf81cce,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Data Analysis,,2
cb5e7dbc-0acf-4ad6-b1de-b297cbb04f3d,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Computational Neuroscience,,3
2fbeb77a-9e12-478c-b1b8-72bcd2816865,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Behavioral Neuroscience,,4
dab92f84-42c5-4ca5-9524-68b12accaa77,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Analytical Skills,,5
ce0b7cc3-4531-42a9-858b-6edbec0dd41d,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Presentation Skills,,6
601f7f58-9f0d-4e73-814f-137e599e3157,aabd2af1-3e36-47c2-9dd4-64ae2244aced,English,,7
394dac4c-2c11-43f1-841a-4390398b3c2c,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Research Skills,,8
de50b202-ee6b-40fd-9672-5ddef3ff4541,aabd2af1-3e36-47c2-9dd4-64ae2244aced,Communication,,9
a0200c57-9509-437b-88e3-fe195e338167,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Western Blotting,,0
1ba36129-8d0b-4eb9-af13-cb6a1bb80a64,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Dosing and Drug Administration,,1
46397827-15b8-49f8-85cf-b7d1bc778d2f,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Mouse Handling,,2
5a614a3e-7f16-4479-8935-2f3696005b07,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Scientific Research,,3
a5502c4d-09cc-4234-b26c-4ef90c08c599,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Mathematics Education,,4
2f94b733-78b8-490f-a5ea-cbc4a4456b33,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Curriculum Development,,5
2f228e73-633d-4a56-a1ba-2efbf67e26c0,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Teaching,,6
507483b0-84f4-4fdd-9952-7fa29df04ac6,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Mentoring,,7
394d3bc6-7e05-4a3e-bcd1-f128abff7941,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Customer Service,,8
9f872c28-8435-4699-871c-aee1d521faf9,61d6dada-0d7d-4b02-8c05-7dc3816c9a49,Administrative support,,9
893cdad5-d3d8-441e-8940-e4a83c68dfe9,abb97cd8-36de-4c7d-ab17-23817efe1904,Artificial Intelligence (AI),,0
e526bcfc-f9a7-4688-ac72-7373e5c6da27,abb97cd8-36de-4c7d-ab17-23817efe1904,Manuscript Development,,1
2747baaf-6921-42c3-a448-8726f0cf8b59,abb97cd8-36de-4c7d-ab17-23817efe1904,Conference Services,,2
b7a05c9a-92c4-4eb0-ac59-862ec3aea918,abb97cd8-36de-4c7d-ab17-23817efe1904,Customer Relationship Management (CRM),,3
3c05860d-31e3-4fa9-8708-d36ce018632c,abb97cd8-36de-4c7d-ab17-23817efe1904,Statistical Data Analysis,,4
cc12131a-7836-4c91-acd4-1f3643b4c0cc,abb97cd8-36de-4c7d-ab17-23817efe1904,Community Outreach,,5
15e87da4-556c-4217-80bc-fa34c8dcaa30,abb97cd8-36de-4c7d-ab17-23817efe1904,Peer Support,,6
9adf4174-2df1-4d75-8521-f4cd656d588c,abb97cd8-36de-4c7d-ab17-23817efe1904,Peer Mentoring,,7
daba4630-be0d-493b-9794-a6155e67afa5,abb97cd8-36de-4c7d-ab17-23817efe1904,Community Engagement,,8
100dfea0-06db-4711-a0c2-1d46de40795c,abb97cd8-36de-4c7d-ab17-23817efe1904,Suicide Prevention,,9
139d19ca-70b9-48ea-88a7-607fbf83f38b,1d2f3d61-4015-4a66-a140-bf98f283d695,Collaborative Problem Solving,,0
5375846e-7f6a-4845-b63a-5076be182c40,1d2f3d61-4015-4a66-a140-bf98f283d695,constructive dialogue,,1
ba004e59-62a8-4487-b486-bb47a20cd51f,1d2f3d61-4015-4a66-a140-bf98f283d695,R (Programming Language),,2
1095d849-846a-4d9c-849e-826fad151d44,1d2f3d61-4015-4a66-a140-bf98f283d695,Laboratory Skills,,3
62f5f6de-dab5-40c2-a616-9e35a6e225f9,1d2f3d61-4015-4a66-a140-bf98f283d695,Science Communication,,4
80691a2f-c14d-41cd-a458-7f6057d037d7,1d2f3d61-4015-4a66-a140-bf98f283d695,Data Extraction,,5
183eca1e-8dc3-4724-b6b1-e53c9aa9c90e,1d2f3d61-4015-4a66-a140-bf98f283d695,Collaborative Teamwork,,6
2b9862f1-9633-41c9-8088-e6801bdea531,1d2f3d61-4015-4a66-a140-bf98f283d695,Research Design & Experimental Planning,,7
9e00feab-5736-492d-bf6a-ac8269741fc6,1d2f3d61-4015-4a66-a140-bf98f283d695,Microsoft Excel,,8
20ac3f7e-a8ba-4f55-9d5d-211726382bae,1d2f3d61-4015-4a66-a140-bf98f283d695,Literature Review & Scientific Reading,,9
3b00357a-5684-4d2d-b129-0b7531522048,d93bf6ad-efae-4411-9708-bdff1c9fe891,Technical Reports,,0
f5bf32b5-5f5c-4958-b81b-b8f146b1ad1c,d93bf6ad-efae-4411-9708-bdff1c9fe891,Polymerase Chain Reaction (PCR),,1
65657243-0e0e-4f11-b23c-dcb737a2efe5,d93bf6ad-efae-4411-9708-bdff1c9fe891,Mammalian Cell Culture,,2
f831ea18-2c0c-481c-94e5-6202e1da5dd8,d93bf6ad-efae-4411-9708-bdff1c9fe891,Cryopreservation,,3
fe160c39-fce1-4c34-8b3f-6fe280d54e2d,d93bf6ad-efae-4411-9708-bdff1c9fe891,Cell Culture,,4
f606d523-38e6-434e-bffd-e0534b274c35,d93bf6ad-efae-4411-9708-bdff1c9fe891,MALDI-TOF mass spectrometry,,5
7c88e0ff-244a-4e0b-85a4-ccc6b8cab3ac,d93bf6ad-efae-4411-9708-bdff1c9fe891,Western Blotting,,6
ad0a6abf-26ed-43fd-aab5-6bab15238f73,d93bf6ad-efae-4411-9708-bdff1c9fe891,Immunocytochemistry,,7
0575889c-dfa6-41c3-a626-496c4de650e2,d93bf6ad-efae-4411-9708-bdff1c9fe891,IBM SPSS Statistics,,8
d94c1122-a9ce-4140-9042-cbc4b58fb60a,d93bf6ad-efae-4411-9708-bdff1c9fe891,GraphPad Prism,,9
26513839-b025-4ccb-9a33-0534da9d69c4,41601368-5883-4c8c-acc3-410a620df99c,Precision Medicine,,0
45cba9c9-53bb-4cd8-b33c-ec6f5bce63f0,41601368-5883-4c8c-acc3-410a620df99c,Entrepreneurship,,1
508c507c-5455-4851-84e2-ac8d67690377,41601368-5883-4c8c-acc3-410a620df99c,Prescription,,2
11395b4d-cacd-4287-87e0-e5f2c8ca6f97,41601368-5883-4c8c-acc3-410a620df99c,Referrals,,3
ea27d477-fe5c-444d-a02c-e62cc5a9a944,41601368-5883-4c8c-acc3-410a620df99c,Electronic Medical Record (EMR),,4
5cafe32f-53d9-4898-afaf-365dfae14841,41601368-5883-4c8c-acc3-410a620df99c,Virtual Teams,,5
85ceca35-eb3b-4f14-908f-4a9f4378a4d6,41601368-5883-4c8c-acc3-410a620df99c,Health Education,,6
127eddad-9bbc-4cfe-a5b1-debf4fc9c48e,41601368-5883-4c8c-acc3-410a620df99c,Longevity,,7
33d3719a-6522-44f2-b7a6-18f5d7c133bb,41601368-5883-4c8c-acc3-410a620df99c,Voluntary Sector,,8
9445bbdc-46fa-4d43-8f27-e78517949ffe,41601368-5883-4c8c-acc3-410a620df99c,Patient Experience,,9
4360a27c-3529-40bf-bf43-8940325ead45,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Hands-on Research,,0
3bf74c7a-914f-45a6-bb34-1eebe7fdd9b6,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Initiative,,1
dce968ea-337f-46b8-b5c9-fd997bea09cc,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Data Analysis,,2
048b51f0-89d2-4ac4-a406-ea95440db00f,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Teamwork,,3
c16a8325-dccd-4a86-995d-257d4897ed31,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Social Media Marketing,,4
75bd4aa6-84c6-4265-970e-9b91c49a67d3,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Project Management,,5
10fa41d2-88fb-40fe-90e5-88d607ce0656,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Social Research,,6
e24c32a0-6982-4203-8991-4fb121a858ff,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Patient Experience,,7
570119d2-02ff-4c39-8f79-7af5c333ce6f,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Research Skills,,8
def66da0-3cfd-4ec8-a29d-800ed6e7211d,1f1f4f23-4334-4f7d-8036-fa26d1c08d07,Organizational Leadership,,9
2edadab0-4529-410b-bcb1-7f22f9ddecc4,8d5b5273-e5dd-4481-b206-93b7e7983e66,Teaching,,0
9f76a573-184c-47d0-9c00-31853551f7b8,8d5b5273-e5dd-4481-b206-93b7e7983e66,Leadership,,1
d54763c9-371c-42fc-bfb0-63d857b152f3,8d5b5273-e5dd-4481-b206-93b7e7983e66,Research Skills,,2
425e34e8-6204-48e0-8d2a-f675ee8b5ac2,03db3f72-1adc-4d08-bdde-9864a58cb2a6,C (Programming Language),,0
76d6b44e-0de2-4165-8167-0b8a4a382ae3,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Image Processing,,1
907cd9aa-a64f-4097-a9f8-3ec8053a51c3,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Computer Hardware Troubleshooting,,2
667b1028-8fe5-42a2-9b28-c0d3468091a5,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Software Development,,3
a83d55fa-c0d2-40e6-9854-4631c068f174,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Calibration,,4
3b93acef-d2a0-4ea9-951a-162df7acc4e1,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Printed Circuit Board (PCB) Design,,5
3cda4b44-39bf-4be8-8a39-7bb02500d3b5,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Pattern Recognition,,6
38d58f03-ddf0-4dc1-b50b-ca2dbd5e6d1a,03db3f72-1adc-4d08-bdde-9864a58cb2a6,ECG Interpretation,,7
da199c62-7f00-4f9b-b400-e32d2b82d051,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Matlab,,8
722128f0-cebf-47bb-be1c-9762380d572c,03db3f72-1adc-4d08-bdde-9864a58cb2a6,Deep Learning,,9
