profile_id,source_section,raw_keyword,context_text
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,skills,Online Content Creation,Online Content Creation
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,I am a doctoral student in the Psychedelic and Cannabinoid Therapeutics lab at the University of Calgary,"I am a doctoral student in the Psychedelic and Cannabinoid Therapeutics lab at the University of Calgary. I have a special interest in neuropharmacology and the development of novel therapeutics for psychiatric disorders. My current work largely focuses on the psychophysiological impacts of childhood maltreatment, particularly concerning the endocannabinoid system and social information processing. I am eager to connect and collaborate in science, advocacy, community outreach, or on the trails 🥾."
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,I have a special interest in neuropharmacology and the development of novel therapeutics for psychiatric disorders,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,My current work largely focuses on the psychophysiological impacts of childhood maltreatment,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,particularly concerning the endocannabinoid system and social information processing,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,I am eager to connect and collaborate in science,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,advocacy,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,community outreach,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,about,or on the trails 🥾,
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,publications,Individual and additive effects of childhood maltreatment and substance use disorder histories on baseline and stress-induced changes in peripheral stress biomarkers,Individual and additive effects of childhood maltreatment and substance use disorder histories on baseline and stress-induced changes in peripheral stress biomarkers
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,publications,Endocannabinoids and the neurobiology of emotional states,Endocannabinoids and the neurobiology of emotional states
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,publications,"Endocannabinoids play a crucial role in regulating the stress response, influencing both the initiation and resolution of stress-related processes in the brain. This discovery has been greatly advanced by the development of pharmacological tools, particularly fatty acid amide hydrolase (FAAH) and monoacylglycerol lipase (MAGL) inhibitors, which have been pivotal in uncovering the endocannabinoid (eCB) system's role in stress regulation. The success of these inhibitors in animal models of stress and emotion has led to the development of clinical therapies targeting eCB enzymes. FAAH inhibitors have demonstrated potential for enhancing fear extinction in healthy humans, offering hope for posttraumatic stress disorder (PTSD) treatment, though clinical trials in PTSD have yet to provide clear therapeutic evidence. In social anxiety disorder (SAD), FAAH inhibitors have shown potential for symptom reduction, but further research is needed. These findings emphasize the growing understanding of eCBs in regulating the stress response and the promise of eCB-based therapies for stress-related disorders. … more",Endocannabinoid Contributions to Psychiatric Risk
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,publications,Endocannabinoid Contributions to Psychiatric Risk,"Endocannabinoid contributions to the perception of socially relevant, affective touch in humans"
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,publications,"This chapter examines the role of the endocannabinoid (eCB) system in psychiatric disorders, including anxiety, depression, eating disorders, post-traumatic stress disorder, substance use disorders, autism spectrum disorder, and schizophrenia. We pay specific attention to the eCB system's role in regulating stress, fear, emotional processing, metabolism, and synaptic plasticity. 10.1007/978-3-031-87990-6_15 … more",
8de3946e-b9fe-4885-8ca3-d92aa08f6f3c,publications,"Endocannabinoid contributions to the perception of socially relevant, affective touch in humans",
profile_id,source_section,raw_keyword,context_text
b23b8e92-e714-4120-9e60-e12ee0aaafdd,publications,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters
b23b8e92-e714-4120-9e60-e12ee0aaafdd,publications,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI
b23b8e92-e714-4120-9e60-e12ee0aaafdd,publications,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging
b23b8e92-e714-4120-9e60-e12ee0aaafdd,publications,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population
b23b8e92-e714-4120-9e60-e12ee0aaafdd,publications,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis
b23b8e92-e714-4120-9e60-e12ee0aaafdd,publications,Control chart pattern recognition using RBF neural network with new training algorithm and practical features,Control chart pattern recognition using RBF neural network with new training algorithm and practical features
b23b8e92-e714-4120-9e60-e12ee0aaafdd,experience,"As a 4th-year PhD candidate in Biomedical Engineering at the University of Calgary, my research focuses on advancing machine learning applications for fMRI data analysis. I specialize in physiological signal processing and functional connectivity, aiming to improve the accuracy of physiological noise correction and enhance our understanding of brain dynamics. My current projects involve reconstructing physiological waveforms, such as respiratory and cardiac signals, directly from BOLD-fMRI data. Key achievements: -Awarded the Hotchkiss Brain Institute Scholarship and Eyes High Doctoral Recruitment Scholarship for outstanding research contributions. -Recipient of the Graduate Student Research Impact Excellence Award and BME Graduate Program Research Excellence Award in recognition of research impact and excellence in the Biomedical Engineering program. -Trainee at the Hotchkiss Brain Institute and Alberta Children’s Hospital Research Institute, collaborating on interdisciplinary research projects. -Published multiple peer-reviewed papers on physiological signal estimation and fMRI data processing in leading journals and conferences",Assistant Professor
b23b8e92-e714-4120-9e60-e12ee0aaafdd,experience,"Unpaid volunteer position as an Editorial Board Member for the Computational Research Progress in Applied Science & Engineering (CRPASE) journal. Responsibilities include evaluating manuscript submissions, collaborating with the Editor-in-Chief and fellow board members to maintain publication standards, and providing expert guidance on research methodologies and relevance. Actively contribute to promoting high-quality research in computational science and engineering by supporting the editorial and peer-review processes",PhD Candidate in Biomedical Engineering
b23b8e92-e714-4120-9e60-e12ee0aaafdd,experience,"Teaching Introduction to Biomedical Imaging and Applications (BMEN 509), covering foundational concepts and applications in biomedical imaging. -Designed and led a weekly 2-hour lab session, providing hands-on experience with MRI, CT, X-ray, PET, and ultrasound imaging. -Supervised two teaching assistants for lab sessions and student support. -Developed course materials, delivered lectures, and guided students in understanding biomedical imaging techniques. -Assessed student performance through assignments, labs, and exams",Research Trainee
b23b8e92-e714-4120-9e60-e12ee0aaafdd,experience,"Co-founded and led Ferdows Golestan Ghaboos, an NGO dedicated to supporting education for underprivileged children, particularly Afghan refugee families in Iran. -Organized fundraising efforts and distributed over 2,500 aid packages, including school supplies and essentials, to children from low-income families. -Provided free tutoring, counseling, and resources to help children continue their education, especially after the Zemestan-Yurt coal mine disaster, which left 100 children without a parent. -Honored by the President of Iran and the Welfare Organization in 2018 for impactful contributions to the community. -Developed leadership and interpersonal skills, managing a diverse team and fostering a culture of inclusion and support for disadvantaged groups",Research Trainee
e754b33f-1a31-420f-b17a-1c21838a82dd,skills,Teaching,Teaching
e754b33f-1a31-420f-b17a-1c21838a82dd,skills,Leadership,Leadership
e754b33f-1a31-420f-b17a-1c21838a82dd,skills,Research Skills,Research Skills
e754b33f-1a31-420f-b17a-1c21838a82dd,experience,Shift Supervisor,Undergraduate Researcher
e754b33f-1a31-420f-b17a-1c21838a82dd,experience,Teaching and Leadership,Lifeguard/Swimming Instructor
e754b33f-1a31-420f-b17a-1c21838a82dd,experience,Nephrology Research Group,Skating Instructor & Summer Camps Leader | Active Living
e754b33f-1a31-420f-b17a-1c21838a82dd,experience,Why am I seeing this ad?,Undergraduate Researcher
profile_id,source_section,raw_keyword,context_text
2150e7f0-9348-4733-b56a-600d219f5a78,publications,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters,Machine Learning-based Estimation of Respiratory Fluctuations in a Healthy Adult Population using resting state BOLD fMRI and Head Motion Parameters
2150e7f0-9348-4733-b56a-600d219f5a78,publications,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI,Image Translation for Estimating Two‐Dimensional Axial Amyloid‐Beta PET From Structural MRI
2150e7f0-9348-4733-b56a-600d219f5a78,publications,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging,Limitations Of the Derived Respiratory Variation Measurements Used in Functional Magnetic Resonance Imaging
2150e7f0-9348-4733-b56a-600d219f5a78,publications,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population,Direct Machine Learning Reconstruction of Respiratory Variation Waveforms from Resting State fMRI Data in a Pediatric Population
2150e7f0-9348-4733-b56a-600d219f5a78,publications,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis,An intelligent system based on optimized ANFIS and association rules for power transformer fault diagnosis
2150e7f0-9348-4733-b56a-600d219f5a78,publications,Control chart pattern recognition using RBF neural network with new training algorithm and practical features,Control chart pattern recognition using RBF neural network with new training algorithm and practical features
2150e7f0-9348-4733-b56a-600d219f5a78,experience,"As a 4th-year PhD candidate in Biomedical Engineering at the University of Calgary, my research focuses on advancing machine learning applications for fMRI data analysis. I specialize in physiological signal processing and functional connectivity, aiming to improve the accuracy of physiological noise correction and enhance our understanding of brain dynamics. My current projects involve reconstructing physiological waveforms, such as respiratory and cardiac signals, directly from BOLD-fMRI data. Key achievements: -Awarded the Hotchkiss Brain Institute Scholarship and Eyes High Doctoral Recruitment Scholarship for outstanding research contributions. -Recipient of the Graduate Student Research Impact Excellence Award and BME Graduate Program Research Excellence Award in recognition of research impact and excellence in the Biomedical Engineering program. -Trainee at the Hotchkiss Brain Institute and Alberta Children’s Hospital Research Institute, collaborating on interdisciplinary research projects. -Published multiple peer-reviewed papers on physiological signal estimation and fMRI data processing in leading journals and conferences",Assistant Professor
2150e7f0-9348-4733-b56a-600d219f5a78,experience,"Unpaid volunteer position as an Editorial Board Member for the Computational Research Progress in Applied Science & Engineering (CRPASE) journal. Responsibilities include evaluating manuscript submissions, collaborating with the Editor-in-Chief and fellow board members to maintain publication standards, and providing expert guidance on research methodologies and relevance. Actively contribute to promoting high-quality research in computational science and engineering by supporting the editorial and peer-review processes",PhD Candidate in Biomedical Engineering
2150e7f0-9348-4733-b56a-600d219f5a78,experience,"Teaching Introduction to Biomedical Imaging and Applications (BMEN 509), covering foundational concepts and applications in biomedical imaging. -Designed and led a weekly 2-hour lab session, providing hands-on experience with MRI, CT, X-ray, PET, and ultrasound imaging. -Supervised two teaching assistants for lab sessions and student support. -Developed course materials, delivered lectures, and guided students in understanding biomedical imaging techniques. -Assessed student performance through assignments, labs, and exams",Research Trainee
